YAR030C           	            n/a	         186847	     1253	    0	    2
YAR008W (SEN34)   	         158857	         158967	      345	    6	    0
YAL056C-A         	            n/a	          39047	      212	    0	    0
YAR064W           	            n/a	         220189	     2705	    0	    1
YAL037C-B         	            n/a	          73301	      125	    2	    0
YAR002W (NUP60)   	         152233	         152259	     1090	    3	    1
YAR035W (YAT1)    	            n/a	         190187	     1381	    4	    1
YAL015C (NTG1)    	            n/a	         128103	      149	    0	    1
YAL024C (LTE1)    	         105934	         105873	      399	    5	    1
YAL035W (FUN12)   	          76407	          76428	      274	    2	    0
YAL066W           	            n/a	          10092	     1074	    1	    4
YAL048C (GEM1)    	            n/a	          54790	      199	    0	    3
YAR019W-A         	            n/a	         174996	     3297	    7	    2
YAL058W (CNE1)    	          37415	          37465	      316	    0	    0
YAL042W (ERV46)   	            n/a	          61317	      263	    5	    0
YAL032C (PRP45)   	          84510	          84475	      194	    0	    0
YAR075W           	            n/a	         228835	     1980	    0	    1
YAL053W (FLC2)    	          45791	          45900	      876	   21	    2
YAL049C (AIM2)    	          52645	          52596	      205	    0	    0
YAL026C (DRS2)    	          99785	          99698	      527	    3	    2
YAL013W (DEP1)    	         129238	         129271	      250	    1	    0
YAL039C (CYC3)    	          69576	          69526	     2260	   38	    1
YAL003W (EFB1)    	         142163	         142176	      742	   23	    1
YAL067W-A         	            n/a	           2480	      310	    0	    1
YAL051W (OAF1)    	          48557	          48565	      313	    2	    2
YAL022C (FUN26)   	         110465	         110431	      415	    6	    0
YAR070C           	            n/a	         224853	      597	    5	    1
YAR042W (SWH1)    	         192519	         192613	      201	    0	    0
YAL007C (ERP2)    	         138415	         138347	     1157	    6	    0
YAL001C (TFC3)    	         151188	         151168	     1090	    3	    1
YAL019W-A         	            n/a	         114251	      890	    0	    0
YAL062W (GDH3)    	          31390	          31568	     3598	    6	    1
YAL044W-A         	            n/a	          57519	      132	    0	    1
YAL059W (ECM1)    	            n/a	          36510	      205	    1	    0
YAL016C-B         	         124498	         124493	      262	    3	    1
YAL034W-A (MTW1)  	            n/a	          79719	      282	    2	    2
YAR047C           	            n/a	         201780	     1613	    0	    1
YAL026C-A         	            n/a	          95824	     4401	    3	    2
YAL005C (SSA1)    	         141497	         141433	      742	   23	    1
YAL054C (ACS1)    	            n/a	          45023	      876	   21	    2
YAL041W (CDC24)   	          62753	          62841	      276	    4	    2
YAR068W           	            n/a	         222397	      745	    0	    0
YAL016C-A         	            n/a	         125070	     1833	    0	    0
YAR015W (ADE1)    	         169336	         169370	      503	   11	    0
YAL030W (SNC1)    	          87264	          87287	      254	    4	    0
YAR053W           	            n/a	         208358	      350	    0	    0
YAR014C (BUD14)   	         169017	         168866	      503	   11	    0
YAL045C           	            n/a	          57797	      153	    0	    2
YAL029C (MYO4)    	          92319	          92271	      629	    9	    0
YAL038W (CDC19)   	          71758	          71787	     2260	   38	    1
YAL018C           	            n/a	         119542	      683	   13	    1
YAL064C-A         	            n/a	          13744	     7781	    0	    0
YAR019C (CDC15)   	            n/a	         175133	     1720	    1	    0
YAR028W           	         184838	         184886	      414	    0	    0
YAL060W (BDH1)    	          35070	          35156	      453	    7	    1
YAL068C (PAU8)    	            n/a	           2169	      310	    0	    1
YAL042C-A         	            n/a	          61609	     1231	    4	    2
YAL047W-A         	            n/a	          54585	     1988	    0	    0
YAL037W           	            n/a	          74021	      501	    5	    1
YAL046C (AIM1)    	          57433	          57386	      102	    0	    1
YAL043C (PTA1)    	          61104	          61053	      178	    5	    0
YAL031C (GIP4)    	            n/a	          87032	      254	    4	    0
YAR071W (PHO11)   	            n/a	         225451	      597	    5	    1
YAL020C (ATS1)    	            n/a	         114616	      303	    7	    0
YAL011W (SWC3)    	            n/a	         132202	      215	    1	    0
YAL044C (GCV3)    	          58470	          58463	      232	    6	    0
YAL063C (FLO9)    	            n/a	          27969	     3598	    6	    1
YAL034C (FUN19)   	          82050	          81952	      754	    8	    0
YAL009W (SPO7)    	         135830	         135856	      188	    0	    0
YAL021C (CCR4)    	         113400	         113360	      254	    0	    0
YAR029W           	            n/a	         186315	      724	    0	    0
YAL016W (TPD3)    	            n/a	         124880	      386	    3	    1
YAL002W (VPS8)    	            n/a	         143709	      546	    4	    0
YAR023C           	         180085	         179818	     3945	    0	    0
YAR003W (SWD1)    	         154978	         155007	      280	    1	    1
YAL061W (BDH2)    	          33222	          33449	      507	    1	    1
YAR027W (UIP3)    	         183755	         183764	     3945	    0	    0
YAL004W           	            n/a	         140762	     2414	    6	    0
YAL063C-A         	            n/a	          22687	     1313	    0	    0
YBR196C-B         	            n/a	         614625	      572	    2	    0
YBR149W (ARA1)    	         539953	         539981	      281	    2	    1
YBL040C (ERD2)    	         142894	         142871	      524	    5	    0
YBR076W (ECM8)    	            n/a	         390369	     1157	    3	    0
YBR298C-A         	            n/a	         805250	       94	    0	    0
YBR136W (MEC1)    	            n/a	         505662	      361	    3	    0
YBR021W (FUR4)    	         281330	         281443	      835	    1	    0
YBL023C (MCM2)    	         177587	         177529	      347	    2	    0
YBR118W (TEF2)    	         477651	         477665	     1233	    8	    4
YBR172C (SMY2)    	         581464	         581367	      353	    2	    0
YBR097W (VPS15)   	            n/a	         436945	      237	    0	    1
YBR267W (REI1)    	         739830	         739836	      296	    2	    0
YBR167C (POP7)    	         572010	         571885	      480	    6	    0
YBL103C (RTG3)    	          23677	          23535	      562	    5	    2
YBR009C (HHF1)    	         255707	         255682	      646	    6	    3
YBR098W (MMS4)    	         441423	         441509	      199	    0	    0
YBR245C (ISW1)    	            n/a	         711534	       51	    0	    0
YBR051W           	            n/a	         337986	     1169	   13	    0
YBL058W (SHP1)    	         111410	         111439	      192	    4	    1
YBL065W           	            n/a	          99965	     4080	    4	    0
YBR048W (RPS11B)  	         332801	         332829	      470	    7	    2
YBR294W (SUL1)    	            n/a	         789230	      804	    3	    3
YBR242W           	         704500	         704665	      614	    0	    5
YBL021C (HAP3)    	         182115	         182097	      306	    1	    0
YBL064C (PRX1)    	         101191	         101158	      729	   14	    3
YBR130C (SHE3)    	         496905	         496863	      293	    4	    0
YBR164C (ARL1)    	         568532	         568421	      425	    3	    3
YBR237W (PRP5)    	         691884	         691964	      275	    6	    0
YBR188C (NTC20)   	         604166	         604102	      400	    6	    0
YBR174C           	            n/a	         582647	     1067	    3	    1
YBL098W (BNA4)    	          39120	          39142	      454	    2	    1
YBR282W (MRPL27)  	         768200	         768236	      633	    4	    0
YBR217W (ATG12)   	         657792	         657827	      231	    0	    0
YBR216C (YBP1)    	         657630	         657595	      231	    0	    0
YBR199W (KTR4)    	         618830	         618904	      385	    4	    0
YBR107C (IML3)    	         454640	         454524	      291	    1	    1
YBR109W-A         	            n/a	         458602	      245	    4	    1
YBR056C-B         	            n/a	         351449	      741	    0	    0
YBR249C (ARO4)    	         718126	         717989	     1038	   14	    0
YBL010C           	         206974	         206952	      244	    2	    0
YBL003C (HTA2)    	         235860	         235795	      699	    6	    2
YBR192W (RIM2)    	         607483	         607647	      428	    0	    0
YBR056W           	         347835	         347877	      577	    0	    1
YBR090C           	            n/a	         427052	       96	    0	    0
YBR041W (FAT1)    	         318218	         318266	      401	    2	    1
YBL009W (ALK2)    	         207163	         207197	      244	    2	    0
YBR272C (HSM3)    	            n/a	         747798	      257	    1	    1
YBR139W           	         515632	         515658	      327	    4	    1
YBR036C (CSG2)    	         310362	         310313	      250	    2	    0
YBL095W           	            n/a	          43274	      181	    1	    0
YBL054W (TOD6)    	         117491	         117592	      759	    4	    0
YBR091C (TIM12)   	         427505	         427478	      213	    1	    2
YBR065C (ECM2)    	         369719	         369676	      358	    1	    0
YBR004C (GPI18)   	         245723	         245669	      238	    0	    0
YBR252W (DUT1)    	         722592	         722606	      297	    0	    1
YBR240C (THI2)    	            n/a	         701837	      746	    1	    2
YBR086C (IST2)    	         423282	         423035	      723	    5	    0
YBR030W (RKM3)    	         298228	         298292	      549	    9	    0
YBL081W           	          71787	          71863	      738	    6	    0
YBR232C           	            n/a	         683727	     1244	    2	    2
YBR138C           	         515385	         515330	      327	    4	    1
YBR263W (SHM1)    	            n/a	         736259	      223	    0	    0
YBL097W (BRN1)    	            n/a	          40828	      303	    4	    0
YBR182C-A         	            n/a	         595550	      559	    2	    2
YBR150C (TBS1)    	         544507	         544487	      534	    6	    3
YBR010W (HHT1)    	         256320	         256329	      646	    6	    3
YBL076C (ILS1)    	          84274	          84259	      237	    7	    0
YBR213W (MET8)    	            n/a	         650363	      463	    3	    1
YBR050C (REG2)    	            n/a	         338197	      520	    2	    1
YBL043W (ECM13)   	         136557	         136691	      321	    4	    0
YBL068W-A         	            n/a	          91792	      868	    0	    0
YBR175W (SWD3)    	            n/a	         582403	      235	    1	    0
